target,modality,biomarker_context,indication_used_in_trial,representative_agent_or_program,status,success_summary,reference  
ERBB2,ADC,HER2+ breast cancer,HER2-positive metastatic breast cancer,trastuzumab deruxtecan,success,Validated HER2 target with major clinical impact,FDA label; pivotal trial  
EGFR,small molecule,activating EGFR mutation,EGFR-mutant advanced NSCLC,osimertinib,success,Standard EGFR-targeted therapy in mutant NSCLC,FDA label; pivotal trial  
EGFR,biologic,exon20 insertion,EGFR exon20 insertion NSCLC,amivantamab,success,Approved biomarker-linked therapy for exon20 disease,FDA label; pivotal trial  
ALK,small molecule,ALK fusion,ALK-rearranged NSCLC,alectinib,success,Established ALK inhibitor with strong CNS activity,FDA label; pivotal trial  
ROS1,small molecule,ROS1 fusion,ROS1-rearranged NSCLC,entrectinib,success,Clinically validated ROS1 target in NSCLC,FDA label; pivotal trial  
BRAF,small molecule,BRAF V600E,metastatic melanoma,vemurafenib,success,Classic driver-target success in melanoma,FDA label; pivotal trial  
BRAF,small molecule,BRAF V600E,colorectal cancer,encorafenib plus cetuximab,success,Targeted combination established in BRAF-mutant CRC,FDA label; pivotal trial  
BRAF,small molecule,BRAF V600E,NSCLC,dabrafenib plus trametinib,success,BRAF-targeted therapy validated in lung cancer,FDA label; pivotal trial  
NTRK,fusion-targeted small molecule,NTRK fusion,solid tumors,larotrectinib,success,Tumor-agnostic fusion target with broad approval,FDA label; pivotal trial  
RET,small molecule,RET fusion,RET fusion NSCLC,selpercatinib,success,Approved RET fusion therapy with strong efficacy,FDA label; pivotal trial  
RET,small molecule,RET mutation,medullary thyroid cancer,selpercatinib,success,Validated RET-mutant thyroid cancer therapy,FDA label; pivotal trial  
MET,small molecule,MET exon14 skipping,MET exon14 NSCLC,capmatinib,success,Actionable MET biomarker with approved therapy,FDA label; pivotal trial  
IDH1,small molecule,IDH1 R132 mutation,AML,ivosidenib,success,Mutation-directed therapy in AML,FDA label; pivotal trial  
IDH1,small molecule,IDH1 mutation,cholangiocarcinoma,ivosidenib,success,Approved in an IDH1-mutant solid tumor setting,FDA label; pivotal trial  
IDH2,small molecule,IDH2 R140/R172 mutation,AML,enasidenib,success,Validated IDH2-targeted therapy,FDA label; pivotal trial  
BRCA1/2,small molecule,HRD or BRCA loss,ovarian cancer,olaparib,success,Standard PARP inhibitor in BRCA-driven disease,FDA label; pivotal trial  
BRCA1/2,small molecule,HRD or BRCA loss,breast cancer,olaparib,success,PARP inhibition validated in BRCA-mutant breast cancer,FDA label; pivotal trial  
BRCA1/2,small molecule,HRD or BRCA loss,prostate cancer,olaparib,success,Approved in BRCA-mutant prostate cancer,FDA label; pivotal trial  
MSI-H,disease biomarker,dMMR or MSI-H,tumor-agnostic,pembrolizumab,success,Tumor-agnostic immunotherapy landmark,FDA label; pivotal trial  
dMMR,biologic,dMMR,endometrial cancer,dostarlimab,success,Validated checkpoint target in dMMR endometrial cancer,FDA label; pivotal trial  
PD-1,biologic,PD-1 axis,melanoma,nivolumab,success,Core checkpoint success across multiple cancers,FDA label; pivotal trial  
